"開始時間","結束時間","城市區域","行程類型","地點","詳細內容","交通方式","詳細交通","移動時間","餐飲購物建議","票券優惠","永續綠色旅遊","里山精神","備註"
"09:00","09:00","京都五條","住宿","維瑟爾坎帕納京都五條飯店","退房並寄放行李（今日移往大阪），準備輕裝前往京都水族館","步行","飯店退房櫃台寄放行李至下午取回；Google Maps: Vessel Hotel Campana Kyoto Gojo","約0分鐘","飯店早餐或周邊早餐","無","行李寄放後輕裝移動","以放鬆心情迎接最後一個京都上午","確認飯店是否可寄放行李至15:00後取回"
"09:00","10:00","京都五條→梅小路","交通","五條站 → 京都水族館（梅小路公園）","搭地下鐵烏丸線至京都站，步行或公車前往梅小路公園","地下鐵烏丸線 + 步行","K10（五条）→ K11（京都）；京都站步行約15分鐘至梅小路公園，或搭乘梅小路公園・京都鉄道博物館前直行バス；Google Maps: Kyoto Station to Kyoto Aquarium Umekoji Park","約60分鐘","出發前補充飲水","ICOCA","大眾運輸前往，步行為輔","從五條舊城區走向梅小路公園，感受京都城市西側的自然綠地氛圍","京都水族館開放時間通常10:00，行前確認2026年時間"
"10:00","13:00","京都梅小路","體驗","京都水族館","參觀京都水族館，欣賞海洋生物展示、水母區與企鵝館","步行","水族館內步行；Google Maps: Kyoto Aquarium Umekoji","約0分鐘","館內有餐廳與咖啡廳，可用午餐；或出館後在梅小路公園野餐","京都水族館門票以官方公告為準（約¥2200+）；豪華版關西樂享周遊券可能含此項目，確認兌換清單","選擇以教育體驗代替大量採購","感受人與海洋自然生態的連結，水族館也展示京都及日本水系生態","行前確認是否有特別展覽"
"13:00","13:22","京都梅小路→錦市場","交通","京都水族館 → 錦市場","搭公車或步行前往錦市場","京都市巴士或步行","梅小路公園步行至四条烏丸附近約20分鐘，或搭公車至「四条烏丸」；Google Maps: Kyoto Aquarium to Nishiki Market Kyoto","約22分鐘","車上補水","ICOCA 或公車","步行串連景點，減少碳排","感受從公園綠地轉入市區商業街道的京都地景層次","錦市場午後人潮較多，做好心理準備"
"13:22","14:52","京都","散步購物","錦市場","漫步「京都的廚房」錦市場，品嘗漬物、豆腐、玉子燒、抹茶等在地美食","步行","錦市場步行範圍；Google Maps: Nishiki Market Kyoto","約0分鐘","推薦：お多辯的玉子燒、錦豆腐、漬物；可在此用午餐邊走邊吃","無","選擇在地食材小食，支持傳統市場商家","感受傳統市場文化，錦市場是京都飲食文化傳承的里山縮影","注意部分店家邊走邊吃規定；市場人潮多，靠邊行走"
"14:52","14:56","京都","交通","錦市場 → 錦天滿宮","步行即達","步行","Google Maps: Nishiki Market to Nishiki Tenmangu Shrine","約4分鐘","無","無","步行","感受市場與神社共存的京都日常空間","錦天滿宮是錦市場的守護神社"
"14:56","15:26","京都","古蹟文化","錦天滿宮","參拜錦天滿宮，感受商街守護神社的在地信仰","步行","錦天滿宮境內步行；Google Maps: Nishiki Tenmangu Shrine Kyoto","約0分鐘","周邊可購買神社御守或籤詩","參拜免費","步行參拜","感受市場與神社緊密共存，體現商業與信仰在地融合的里山精神","境內安靜參拜，避免喧嘩"
"15:26","15:51","京都","交通","錦天滿宮 → 祇園白川","步行前往祇園白川","步行","Google Maps: Nishiki Tenmangu to Shirakawa Gion Kyoto","約25分鐘","途中可在河原町附近咖啡店稍作休憩","無","步行串連","感受從商業街區到祇園水岸的地景轉換","建議選擇風景路線沿鴨川散步至祇園"
"15:51","16:51","京都祇園","散步購物","祇園白川","漫步祇園白川石板路，欣賞垂柳、小橋、茶屋並存的京都最美水岸","步行","祇園白川步行範圍；Google Maps: Shirakawa Canal Gion Kyoto","約0分鐘","周邊有咖啡店與甜點店可休憩","無","步行","感受白川水岸、垂柳與町家共存的里山水景，體現京都人與自然和諧的生活美學","此區居民眾多，保持安靜；勿拍攝私人住家"
"16:51","17:00","京都祇園","交通","祇園白川 → 挽肉と米（京都）","步行前往晚餐","步行","Google Maps: Shirakawa Gion to Hikiniku to Kome Kyoto","約9分鐘","無","無","步行","結束下午文化散步，前往晚餐","挽肉と米排隊需求高，建議提早至現場取號"
