"開始時間","結束時間","城市區域","行程類型","地點","詳細內容","交通方式","詳細交通","移動時間","餐飲購物建議","票券優惠","永續綠色旅遊","里山精神","備註"
"08:00","09:00","京都五條","早餐","維瑟爾坎帕納京都五條飯店周邊","在飯店或周邊享用早餐，準備水瓶、雨具，確認宇治交通路線","步行","飯店周邊步行約5分鐘；Google Maps: Vessel Hotel Campana Kyoto Gojo nearby breakfast","約5分鐘","可選飯店早餐、在地咖啡店或麵包店","無","自備水瓶，出發前補足飲水","以慢行方式展開宇治行，感受京都早晨街區","宇治為熱門景點，平日建議9點前出發"
"09:00","09:38","京都→宇治","交通","五條站（京阪）→ 宇治站（京阪）","搭乘京阪電車前往宇治，欣賞從京都市區到宇治茶鄉的地景","京阪電車","五條站（京阪）往中書島方向，至中書島轉乘京阪宇治線至宇治站；步行約5分鐘至平等院；Google Maps: Gojo Keihan Station to Uji Station Keihan","約38分鐘","車廂可補水","ICOCA 直接搭乘","優先使用鐵路，減少計程車依賴","觀察從京都市區到宇治茶鄉的地景，感受水系與茶田的山間環境","確認京阪宇治線班次；平等院通常 08:30 開放，行前確認"
"09:38","11:38","宇治","古蹟文化","平等院","參觀世界遺產平等院鳳凰堂，欣賞平安時代建築與池泉庭園之美","步行","宇治站步行約5分鐘；Google Maps: Keihan Uji Station to Byodoin Temple","約0分鐘","寺內有茶屋可小憩；附近多間宇治茶店","平等院門票以官方公告為準（約¥600+）；鳳翔館另購","提早參訪降低人潮對環境的衝擊","感受人、信仰與水景共存，鳳凰堂水面倒影是人與自然交融的里山美學","避免在水池邊或文物旁大聲喧嘩；寺內禁止飲食"
"11:38","11:48","宇治","交通","平等院 → 中村藤吉本店 宇治本店","從平等院步行前往中村藤吉，沿途欣賞宇治橋通街景","步行","沿宇治橋通步行約10分鐘；Google Maps: Byodoin Temple to Nakamura Tokichi Honten Uji","約10分鐘","沿途可觀察宇治茶店林立","無","步行串連景點","感受茶文化融入宇治街道日常","中村藤吉為熱門老舖，建議提早到確認排隊"
"11:48","13:18","宇治","餐飲","中村藤吉本店 宇治本店","享用宇治茶甜點與茶料理，體驗百年老舖茶文化","步行","宇治橋旁；Google Maps: Nakamura Tokichi Honten Uji","約0分鐘","推薦生茶凍、抹茶蕨餅、茶蕎麥麵；可購買宇治茶葉伴手禮","無","選擇在地百年老舖，支持地方茶產業","親身體驗宇治茶文化傳承，感受茶人與土地的連結","用餐可能需排隊20-40分鐘；可先取號再周邊散步等候"
"13:18","13:19","宇治","交通","中村藤吉 → 宇治橋通商店街","同一街區步行即達","步行","宇治橋通步行約1分鐘；Google Maps: Nakamura Tokichi to Ujibashi-dori Shopping Street Uji","約1分鐘","無","無","步行","感受商店街與在地生活的連結","宇治橋通是在地居民與觀光客交匯的生活商街"
"13:19","14:19","宇治","散步購物","宇治橋通商店街振興組合","逛宇治在地商店街，採購茶葉、茶點、和菓子及在地紀念品","步行","宇治橋周邊步行範圍；Google Maps: Ujibashi-dori Shopping Street Uji","約0分鐘","推薦宇治茶葉、抹茶甜點、陶器、茶具；選擇有地方故事的紀念品","無","優先選擇在地小店，避免大量一次性包裝","支持宇治地方商業，選購耐用有故事的茶相關工藝品","多為小型獨立店舖，現金或 ICOCA 為主"
"14:19","14:50","宇治→伏見稻荷","交通","宇治站（京阪）→ 伏見稻荷站（京阪）","搭京阪電車從宇治返回，在伏見稻荷站下車","京阪電車","宇治站搭京阪往三条方向，至中書島轉乘京阪本線，於伏見稻荷站下車；步行約5分鐘至神社；Google Maps: Uji Station Keihan to Fushimi Inari Station Keihan","約31分鐘","車廂可補水","ICOCA 搭乘","鐵路串連景點，減少碳排","觀察從宇治茶鄉回到京都城市的地景轉換","伏見稻荷人氣極高，下午人潮多，做好心理準備"
"14:50","16:50","京都伏見","古蹟文化","伏見稻荷大社","參拜伏見稻荷大社千本鳥居，可選擇登山或僅在山腳參觀","步行","伏見稻荷站步行約5分鐘；Google Maps: Fushimi Inari-taisha Shrine","約0分鐘","神社境內有休息茶屋與稻荷壽司攤販","參拜免費","避免尖峰時段，減少對神社環境的衝擊","感受稻荷信仰與山林共存，千本鳥居象徵人與自然崇敬的里山精神","避免觸碰鳥居柱；登山段陡峭，量力而為；境內保持安靜"
"16:50","17:13","京都伏見→三条","交通","伏見稻荷站（京阪）→ 三条周邊","搭京阪電車前往三条附近高木批發超市","京阪電車","伏見稻荷站搭京阪往三条方向至三条站；步行至高木批發超市；Google Maps: Fushimi Inari Station Keihan to Sanjo Station Keihan","約23分鐘","車廂補水","ICOCA 搭乘","大眾運輸，減少碳排","觀察京都市區街景","出發前確認高木批發超市三条店確切位置"
