"開始時間","結束時間","城市區域","行程類型","地點","詳細內容","交通方式","詳細交通","移動時間","餐飲購物建議","票券優惠","永續綠色旅遊","里山精神","備註"
"00:00","07:00","大阪心齋橋","住宿","心齋橋維亞酒店－JR 西日本集團","充足睡眠，準備難波一日購物行","步行","飯店內","約0分鐘","無","無","無","休息充電，以輕盈心情迎接購物日","今日行程集中難波周邊，步行為主"
"07:00","08:00","大阪心齋橋","早餐準備","心齋橋維亞酒店周邊","起床梳洗，可在周邊便利商店或咖啡店享用早餐，準備木津市場行","步行","飯店周邊步行；Google Maps: Via Inn Shinsaibashi nearby breakfast","約10分鐘","推薦周邊 7-Eleven、Lawson 早餐；或附近咖啡店","無","自備水瓶出發","感受大阪早晨街道氛圍","難波大阪木津市場約08:00開始活絡"
"08:00","09:00","大阪難波","體驗","難波大阪木津市場","參觀大阪傳統生鮮批發市場，感受大阪飲食文化根源與在地食材生態","步行","飯店步行約15分鐘；Google Maps: Namba Osaka Kintu Ichiba Market","約15分鐘","可現場購買新鮮漬物、魚板、海鮮熟食等市場食品","無","支持傳統市場，購買在地食材","感受大阪「食都」文化的起點，市場即是在地食材與居民生活的里山縮影","木津市場主要供應業者，部分攤位接受一般消費者；早晨人潮最多"
"09:00","09:17","大阪難波","交通","木津市場 → 難波八阪神社","步行前往難波八阪神社","步行","Google Maps: Kintu Market to Namba Yasaka Shrine Osaka","約17分鐘","無","無","步行","感受從市場走向神社的大阪街區生活動線","難波八阪神社開放時間通常全天"
"09:17","10:17","大阪難波","古蹟文化","難波八阪神社","參拜難波八阪神社，欣賞著名的獅子殿舞台建築","步行","神社境內步行；Google Maps: Namba Yasaka Shrine Osaka","約0分鐘","神社境內有守護品販售","參拜免費","步行參拜","感受大阪都市中保存的傳統信仰空間，神社是在地居民精神生活的里山據點","境內保持安靜；獅子殿是難得一見的建築特色"
"10:17","10:38","大阪難波","交通","難波八阪神社 → 道頓堀","步行前往道頓堀","步行","Google Maps: Namba Yasaka Shrine to Dotonbori Osaka","約21分鐘","無","無","步行","感受從神社到大阪最熱鬧街區的氛圍轉換","道頓堀是大阪最具代表性的飲食與娛樂街區"
"10:38","11:08","大阪道頓堀","散步購物","道頓堀","漫步道頓堀，欣賞霓虹招牌、戎橋與大阪街頭美食文化","步行","道頓堀步行範圍；Google Maps: Dotonbori Osaka","約0分鐘","可嘗試章魚燒、大阪燒、串炸等道頓堀名食","無","選擇在地小攤，減少連鎖消費","感受大阪熱情商業文化，道頓堀是大阪食都精神的縮影","早上人潮相對少；戎橋橋上可拍攝招牌全景"
"11:08","11:13","大阪難波","交通","道頓堀 → 難波Walk（地下街）","步行即達","步行","Google Maps: Dotonbori to Namba Walk Underground Mall","約5分鐘","無","無","步行","從戶外街道進入地下商業空間，感受大阪都市立體結構","難波Walk為大阪主要地下購物街"
"11:13","12:13","大阪難波","散步購物","難波Walk（地下街）","逛難波地下街，採購時尚、雜貨、美食等商品","步行","難波地下街步行；Google Maps: Namba Walk Underground Shopping Osaka","約0分鐘","推薦服飾、雜貨、甜點店；可在地下街用午餐","無","地下街冷氣省電，避免過度耗能","感受大阪都市地下商業脈絡的生活機能","難波Walk連接多個車站，注意出口方向"
"12:13","12:17","大阪難波","交通","難波Walk → 新宿焼肉 牛たんの檸檬 大阪本店","步行即達","步行","Google Maps: Namba Walk to Shinjuku Yakiniku Gyutan Lemon Osaka Honten","約4分鐘","無","無","步行","感受大阪飲食街區的密集性","此店為牛舌燒肉專門店，人氣較高建議確認候位"
