"開始時間","結束時間","城市區域","行程類型","地點","詳細內容","交通方式","詳細交通","移動時間","餐飲購物建議","票券優惠","永續綠色旅遊","里山精神","備註"
"08:00","09:00","大阪心齋橋","早餐","心齋橋維亞酒店周邊","享用早餐，準備前往梅田大型購物區","步行","飯店周邊步行；Google Maps: Via Inn Shinsaibashi nearby breakfast","約5分鐘","可選飯店早餐、周邊咖啡店或便利商店","無","自備水瓶","感受大阪早晨街區活力","今日行程集中梅田，搭Osaka Metro御堂筋線可快速往返"
"09:00","09:30","大阪心齋橋→梅田","交通","心齋橋站 → 梅田（友都八喜相機）","搭 Osaka Metro 御堂筋線前往梅田","Osaka Metro 御堂筋線","心齋橋站搭御堂筋線往梅田方向至梅田站；步行約5分鐘至友都八喜；Google Maps: Shinsaibashi Station to Yodobashi Camera Umeda Osaka","約30分鐘","車上補水","ICOCA","大眾運輸前往梅田","感受大阪御堂筋線連結城市南北的動脈","梅田為大阪最大的購物與商業樞紐"
"09:30","11:00","大阪梅田","散步購物","友都八喜相機 梅田店（Yodobashi Camera）","採購相機、家電、電子產品、日本家居用品與美妝品","步行","店舖內；Google Maps: Yodobashi Camera Multimedia Umeda Osaka","約0分鐘","推薦相機鏡頭、耳機、遊戲機、美妝保養品；外國旅客可辦免稅","外國旅客免稅（購滿¥5000，需護照）","選擇耐用電器，避免不必要採購","選購有長期使用價值的商品，減少衝動消費","梅田店為全日本最大的友都八喜旗艦店；確認電壓與規格可攜帶回台灣"
"11:00","11:02","大阪梅田","交通","友都八喜 → LUCUA Osaka","步行即達，相鄰建築","步行","Google Maps: Yodobashi Camera to LUCUA Osaka","約2分鐘","無","無","步行","感受梅田大型購物設施的緊密串連","LUCUA 連接JR大阪站"
"11:02","12:32","大阪梅田","散步購物","LUCUA Osaka","逛 LUCUA 與 LUCUA 1100，採購日本時尚服飾、設計雜貨與餐飲","步行","LUCUA 步行範圍；Google Maps: LUCUA Osaka JR Osaka Station","約0分鐘","推薦 LUCUA 地下美食街、時尚品牌、設計生活雜貨；可在此用午餐","外國旅客免稅（部分店舖）","選擇需要的服飾，避免過度採購","感受現代購物中心與都市交通樞紐整合的大阪城市設計","LUCUA 與大阪站直連，方便購物後轉乘；午餐推薦10F餐廳樓層"
"12:32","12:46","大阪梅田","交通","LUCUA → 梅田空中庭園","步行前往梅田空中庭園展望台","步行","Google Maps: LUCUA Osaka to Umeda Sky Building Floating Garden Observatory","約14分鐘","無","無","步行","感受從購物中心走向展望台的城市探索","梅田空中庭園需購票"
"12:46","13:46","大阪梅田","體驗","梅田空中庭園（空中展望台）","登上梅田空中庭園展望台，360度俯瞰大阪市景","步行","展望台內步行；Google Maps: Umeda Sky Building Osaka","約0分鐘","可在展望台咖啡廳享用飲品","梅田空中庭園門票以官方公告為準（約¥1500+）；豪華版關西樂享周遊券可能含此項目，確認兌換清單","以步行+大眾運輸到達展望台","從高處俯瞰大阪城市與遠方山景，感受城市與自然的廣大關係","天晴時可遠眺六甲山；大阪建築展覽亦在此"
"13:46","13:54","大阪梅田","交通","梅田空中庭園 → 無印良品 Grand Front Osaka店","步行前往","步行","Google Maps: Umeda Sky Building to Muji Grand Front Osaka","約8分鐘","無","無","步行","感受梅田不同建設群之間的步行動線","Grand Front Osaka 鄰近大阪站北口"
"13:54","14:54","大阪梅田","散步購物","無印良品 Grand Front Osaka 店","採購無印良品生活用品、食品、文具與旅行必需品","步行","Grand Front Osaka 北館；Google Maps: Muji Grand Front Osaka","約0分鐘","推薦旅行小物、收納用品、食品、護膚品；可補充旅途必需品","無","選擇耐用環保設計商品，符合無印良品永續理念","無印良品設計哲學與里山精神呼應：簡單、耐用、尊重自然","Grand Front Osaka 亦有多間特色餐廳，可在此用午餐"
"14:54","15:16","大阪梅田","交通","Grand Front Osaka → HEP FIVE","步行前往 HEP FIVE","步行","Google Maps: Grand Front Osaka to HEP FIVE Osaka","約22分鐘","無","無","步行","感受梅田購物區的空間分布","HEP FIVE 以屋頂摩天輪著名"
