"開始時間","結束時間","城市區域","行程類型","地點","詳細內容","交通方式","詳細交通","移動時間","餐飲購物建議","票券優惠","永續綠色旅遊","里山精神","備註"
"08:00","09:00","京都五條","早餐","維瑟爾坎帕納京都五條飯店周邊","在飯店或周邊享用早餐，準備水瓶與雨具，確認下鴨神社交通路線","步行","飯店周邊步行約5分鐘；Google Maps: Vessel Hotel Campana Kyoto Gojo nearby breakfast","約5分鐘","可選飯店早餐或周邊咖啡店","無","自備水瓶","以慢行方式出發，感受京都早晨街區氛圍","今日步行量大，建議穿著舒適步行鞋"
"09:00","09:36","京都五條→下鴨","交通","五條周邊 → 賀茂御祖神社（下鴨神社）","搭公車或地下鐵往北前往下鴨神社","京都市巴士或地下鐵+公車","建議路線：Karasuma Gojo 公車站搭205系統往北至「下鴨神社前」下車；或烏丸線至北大路轉公車；Google Maps: Karasuma Gojo to Shimogamo Jinja-mae Bus Stop","約36分鐘","車上補水","ICOCA 或公車一日券","大眾運輸前往，減少計程車依賴","從五條街區北上至糺之森，感受京都城市與森林邊界的過渡","下鴨神社6:30開放；6月可能舉行特別祭典，行前確認"
"09:36","10:36","京都下鴨","古蹟文化","賀茂御祖神社（下鴨神社）","參拜世界遺產下鴨神社，漫步糺之森原始林道，感受京都最古老的綠意","步行","神社境內步行；Google Maps: Shimogamo Jinja Kyoto","約0分鐘","神社境內有茶屋「さるや」供應葵餅與抹茶","參拜免費；特別拜殿另購","在森林中緩慢行走，尊重自然棲息地","糺之森是都市中罕見的原始森林，里山精神體現在人與古老自然的長期共存","境內保持安靜，避免大聲喧嘩"
"10:36","11:27","京都下鴨→清水","交通","下鴨神社 → 清水寺","搭公車從下鴨前往東山清水寺周邊","京都市巴士","「下鴨神社前」搭公車至「五条坂」下車，步行上坡約10分鐘至清水寺；Google Maps: Shimogamo Jinja to Kiyomizudera Bus","約51分鐘","車上補水","ICOCA 或公車一日券","大眾運輸連接城市南北，減少計程車使用","觀察從下鴨森林區移動至東山山麓的地景轉換","6月人潮多，公車可能延誤，預留緩衝時間"
"11:27","12:27","京都東山","古蹟文化","清水寺","參拜清水寺本堂與音羽瀑布，欣賞從清水舞台俯瞰京都市景","步行","五条坂步行上坡約10分鐘；Google Maps: Kiyomizudera Temple Kyoto","約0分鐘","寺內有茶屋；周邊陶器、抹茶點心與漬物攤販","清水寺門票以官方公告為準（約¥500）","提早參訪降低環境衝擊","感受山寺與城市共存，清水舞台俯瞰的城市地景體現人與山水的里山關係","寺內禁止飲食；避免在文物旁大聲喧嘩"
"12:27","12:34","京都東山","交通","清水寺 → 産寧坂","從清水寺出口步行下坡至三年坂","步行","清水寺出口步行約7分鐘；Google Maps: Kiyomizudera to Sannenzaka","約7分鐘","沿途可購買漬物、陶器等在地小物","無","步行串連景點","感受石板坡道串連寺院與町家街區","石板路濕滑，下雨天特別小心"
"12:34","13:04","京都東山","散步購物","産寧坂（三年坂）","漫步石板坡道，逛陶器、和紙、香、風呂敷等地方工藝小店","步行","產寧坂範圍步行；Google Maps: Sannenzaka Kyoto","約0分鐘","推薦京燒陶器、和紙小物、京菓子；選擇耐用的在地工藝紀念品","無","優先購買可長期使用的在地工藝品，避免一次性伴手禮包裝","支持傳統工藝與町家街區商家，理解地方產業如何維持街區風貌","人多時靠邊停留，不影響居民通行"
"13:04","13:10","京都東山","交通","産寧坂 → 二寧坂（二年坂）","步行即達下一段石板坡道","步行","Google Maps: Sannenzaka to Ninenzaka Kyoto","約6分鐘","無","無","步行","感受石板街道的歷史層次","二寧坂傳說踩到會有厄運，謹慎步行"
"13:10","13:40","京都東山","散步購物","二寧坂（二年坂）","漫步二年坂，欣賞保存完好的町家建築與小店","步行","二寧坂範圍步行；Google Maps: Ninenzaka Kyoto","約0分鐘","推薦和菓子、竹工藝、手拭巾","無","步行","感受保存完好的町家街區所承載的傳統生活美學","周末人潮較多，盡量靠邊行走"
"13:40","13:42","京都東山","交通","二寧坂 → 一年坂（一念坂）","步行即達","步行","Google Maps: Ninenzaka to Ichinenzaka Kyoto","約2分鐘","無","無","步行","感受石板街道的連續漫步節奏","一年坂較安靜，是周邊最少人潮的石板道"
"13:42","14:12","京都東山","散步購物","一年坂（一念坂）","最安靜的石板小道，欣賞周邊竹林與町家，可拍照留念","步行","一年坂範圍步行；Google Maps: Ichinenzaka Kyoto","約0分鐘","小型工藝品店、簡單甜點","無","靜謐步行區間","感受最接近京都傳統生活尺度的小徑","人潮少，適合安靜停留與拍照"
